backend,condition,trial,hr_first_1s,hr_first_3s,hr_first_5s,hr_first_10s,new_pod
redis,stock,1,0.071,0.122,0.232,0.397,cache-svc-8fb6f6978-5w2zn
redis,stock,2,0.000,0.148,0.292,0.349,cache-svc-6686978688-fc682
redis,stock,3,0.143,0.238,0.308,0.413,cache-svc-5fbb65fbb9-2lw58
redis,sentrycache,1,0.400,0.482,0.475,0.518,cache-svc-7fcfbb4c4f-86sm9
redis,sentrycache,2,0.444,0.450,0.505,0.528,cache-svc-6c955d7b76-l6jgn
redis,sentrycache,3,0.417,0.511,0.550,0.542,cache-svc-76dd55dfd4-tx9lz
redis,np,1,0.000,0.111,0.181,0.379,cache-svc-55986bd75-l8qcw
redis,np,2,0.053,0.125,0.147,0.299,cache-svc-76d9655d7d-m4qql
redis,np,3,0.000,0.077,0.200,0.325,cache-svc-59f578f746-dqfc6
memcached,stock,1,0.125,0.140,0.179,0.413,cache-svc-mc-7d54888bf4-8vmrn
memcached,stock,2,0.091,0.143,0.276,0.409,cache-svc-mc-57ffd44f5f-zcvqf
memcached,stock,3,0.077,0.265,0.291,0.370,cache-svc-mc-77fdc87877-t8d9h
memcached,sentrycache,1,0.000,0.158,0.224,0.341,cache-svc-mc-769549c75-dcl6z
memcached,sentrycache,2,0.067,0.208,0.351,0.358,cache-svc-mc-7b8d88984c-jblql
memcached,sentrycache,3,0.000,0.184,0.312,0.403,cache-svc-mc-84db7fd6b-qcpkb
memcached,np,1,0.118,0.217,0.284,0.378,cache-svc-mc-7b9b57c85d-k4k5p
memcached,np,2,0.067,0.180,0.321,0.333,cache-svc-mc-7b8d84dc64-prmzs
memcached,np,3,0.185,0.191,0.275,0.397,cache-svc-mc-58bb877656-78hjt
mucache_lru,mucache,1,0.125,0.128,0.253,0.330,cache-svc-mucache-655479bdd6-xx9nj
mucache_lru,mucache,2,0.100,0.208,0.283,0.355,cache-svc-mucache-6cc9dd4cdb-rr4x4
mucache_lru,mucache,3,0.000,0.083,0.222,0.307,cache-svc-mucache-6cf9d8bd7d-sg48g
