condition,trial,rel_sec,rps,hits,hit_rate
stock,1,-24,101,74,0.7327
stock,1,-23,209,166,0.7943
stock,1,-22,181,141,0.7790
stock,1,-21,166,126,0.7590
stock,1,-20,140,110,0.7857
stock,1,-19,159,119,0.7484
stock,1,-18,209,159,0.7608
stock,1,-17,160,120,0.7500
stock,1,-16,275,225,0.8182
stock,1,-15,185,145,0.7838
stock,1,-14,148,118,0.7973
stock,1,-13,208,168,0.8077
stock,1,-12,217,177,0.8157
stock,1,-11,233,193,0.8283
stock,1,-10,170,140,0.8235
stock,1,-9,197,157,0.7970
stock,1,-8,261,211,0.8084
stock,1,-7,187,147,0.7861
stock,1,-6,231,181,0.7835
stock,1,-5,175,135,0.7714
stock,1,-4,155,125,0.8065
stock,1,-3,218,178,0.8165
stock,1,-2,217,167,0.7696
stock,1,-1,243,203,0.8354
stock,1,0,174,134,0.7701
stock,1,1,126,96,0.7619
stock,1,2,150,110,0.7333
stock,1,3,223,183,0.8206
stock,1,4,180,140,0.7778
stock,1,5,143,113,0.7902
stock,1,6,151,111,0.7351
stock,1,7,171,141,0.8246
stock,1,8,170,140,0.8235
stock,1,9,186,146,0.7849
stock,1,10,301,251,0.8339
stock,1,11,175,135,0.7714
stock,1,12,69,19,0.2754
stock,1,13,60,20,0.3333
stock,1,14,58,28,0.4828
stock,1,15,77,37,0.4805
stock,1,16,84,34,0.4048
stock,1,17,60,30,0.5000
stock,1,18,81,51,0.6296
stock,1,19,102,62,0.6078
stock,1,20,109,59,0.5413
stock,1,21,83,43,0.5181
stock,1,22,111,61,0.5495
stock,1,23,108,68,0.6296
stock,1,24,86,56,0.6512
stock,1,25,108,68,0.6296
stock,1,26,135,85,0.6296
stock,1,27,92,52,0.5652
stock,1,28,94,54,0.5745
stock,1,29,131,81,0.6183
stock,1,30,80,50,0.6250
stock,1,31,145,105,0.7241
stock,1,32,150,100,0.6667
stock,1,33,120,80,0.6667
stock,1,34,138,98,0.7101
stock,1,35,84,54,0.6429
stock,1,36,122,82,0.6721
stock,1,37,106,66,0.6226
stock,1,38,142,92,0.6479
stock,1,39,123,83,0.6748
stock,1,40,138,88,0.6377
stock,1,41,94,64,0.6809
stock,1,42,143,103,0.7203
stock,1,43,140,90,0.6429
stock,1,44,137,97,0.7080
stock,1,45,131,91,0.6947
stock,1,46,90,60,0.6667
stock,1,47,139,99,0.7122
stock,1,48,92,62,0.6739
stock,1,49,115,85,0.7391
stock,1,50,131,91,0.6947
stock,1,51,168,118,0.7024
stock,1,52,150,110,0.7333
stock,1,53,213,163,0.7653
stock,1,54,211,171,0.8104
stock,1,55,207,157,0.7585
stock,1,56,200,150,0.7500
stock,1,57,132,102,0.7727
stock,1,58,169,129,0.7633
stock,1,59,203,153,0.7537
stock,1,60,133,93,0.6992
stock,1,61,224,174,0.7768
stock,1,62,167,127,0.7605
stock,1,63,202,152,0.7525
stock,1,64,116,86,0.7414
stock,1,65,133,93,0.6992
stock,1,66,112,82,0.7321
stock,1,67,237,187,0.7890
stock,1,68,148,108,0.7297
stock,1,69,183,143,0.7814
stock,1,70,180,140,0.7778
stock,1,71,157,127,0.8089
stock,1,72,160,130,0.8125
stock,1,73,152,112,0.7368
stock,1,74,244,194,0.7951
stock,1,75,168,128,0.7619
stock,1,76,279,229,0.8208
stock,1,77,171,131,0.7661
stock,1,78,219,171,0.7808
stock,1,79,191,159,0.8325
stock,1,80,153,113,0.7386
stock,1,81,149,119,0.7987
stock,1,82,165,135,0.8182
stock,1,83,213,173,0.8122
stock,1,84,245,205,0.8367
stock,1,85,235,185,0.7872
stock,1,86,233,193,0.8283
stock,1,87,269,219,0.8141
stock,1,88,235,195,0.8298
stock,1,89,219,179,0.8174
stock,1,90,261,221,0.8467
stock,2,-24,94,74,0.7872
stock,2,-23,191,141,0.7382
stock,2,-22,166,126,0.7590
stock,2,-21,182,142,0.7802
stock,2,-20,155,125,0.8065
stock,2,-19,141,101,0.7163
stock,2,-18,202,152,0.7525
stock,2,-17,178,138,0.7753
stock,2,-16,232,188,0.8103
stock,2,-15,215,169,0.7860
stock,2,-14,213,165,0.7746
stock,2,-13,182,140,0.7692
stock,2,-12,190,140,0.7368
stock,2,-11,160,120,0.7500
stock,2,-10,197,157,0.7970
stock,2,-9,282,232,0.8227
stock,2,-8,161,121,0.7516
stock,2,-7,206,166,0.8058
stock,2,-6,279,229,0.8208
stock,2,-5,143,113,0.7902
stock,2,-4,127,87,0.6850
stock,2,-3,235,185,0.7872
stock,2,-2,195,155,0.7949
stock,2,-1,264,214,0.8106
stock,2,0,172,132,0.7674
stock,2,1,137,107,0.7810
stock,2,2,266,226,0.8496
stock,2,3,173,143,0.8266
stock,2,4,166,136,0.8193
stock,2,5,169,129,0.7633
stock,2,6,165,135,0.8182
stock,2,7,149,119,0.7987
stock,2,8,184,144,0.7826
stock,2,9,190,150,0.7895
stock,2,10,221,181,0.8190
stock,2,11,248,198,0.7984
stock,2,12,38,8,0.2105
stock,2,13,60,20,0.3333
stock,2,14,95,45,0.4737
stock,2,15,42,12,0.2857
stock,2,16,70,40,0.5714
stock,2,17,80,40,0.5000
stock,2,18,79,39,0.4937
stock,2,19,104,54,0.5192
stock,2,20,78,38,0.4872
stock,2,21,67,37,0.5522
stock,2,22,81,41,0.5062
stock,2,23,109,59,0.5413
stock,2,24,86,46,0.5349
stock,2,25,103,63,0.6117
stock,2,26,64,34,0.5312
stock,2,27,109,69,0.6330
stock,2,28,122,82,0.6721
stock,2,29,95,55,0.5789
stock,2,30,163,113,0.6933
stock,2,31,69,39,0.5652
stock,2,32,115,75,0.6522
stock,2,33,134,84,0.6269
stock,2,34,85,55,0.6471
stock,2,35,89,59,0.6629
stock,2,36,110,70,0.6364
stock,2,37,148,108,0.7297
stock,2,38,170,120,0.7059
stock,2,39,116,76,0.6552
stock,2,40,159,111,0.6981
stock,2,41,120,88,0.7333
stock,2,42,176,136,0.7727
stock,2,43,164,114,0.6951
stock,2,44,111,81,0.7297
stock,2,45,102,72,0.7059
stock,2,46,59,39,0.6610
stock,2,47,127,97,0.7638
stock,2,48,132,92,0.6970
stock,2,49,152,112,0.7368
stock,2,50,123,83,0.6748
stock,2,51,160,110,0.6875
stock,2,52,134,94,0.7015
stock,2,53,196,150,0.7653
stock,2,54,168,124,0.7381
stock,2,55,209,167,0.7990
stock,2,56,158,116,0.7342
stock,2,57,167,131,0.7844
stock,2,58,126,96,0.7619
stock,2,59,145,105,0.7241
stock,2,60,156,116,0.7436
stock,2,61,183,143,0.7814
stock,2,62,170,120,0.7059
stock,2,63,188,144,0.7660
stock,2,64,257,211,0.8210
stock,2,65,192,152,0.7917
stock,2,66,175,135,0.7714
stock,2,67,107,77,0.7196
stock,2,68,142,112,0.7887
stock,2,69,216,176,0.8148
stock,2,70,218,178,0.8165
stock,2,71,144,104,0.7222
stock,2,72,89,59,0.6629
stock,2,73,160,120,0.7500
stock,2,74,261,211,0.8084
stock,2,75,132,92,0.6970
stock,2,76,212,172,0.8113
stock,2,77,193,153,0.7927
stock,2,78,237,197,0.8312
stock,2,79,141,101,0.7163
stock,2,80,220,180,0.8182
stock,2,81,209,169,0.8086
stock,2,82,124,94,0.7581
stock,2,83,235,195,0.8298
stock,2,84,203,153,0.7537
stock,2,85,200,170,0.8500
stock,2,86,179,149,0.8324
stock,2,87,132,109,0.8258
stock,2,88,323,276,0.8545
stock,2,89,124,94,0.7581
stock,2,90,233,193,0.8283
stock,3,-24,137,99,0.7226
stock,3,-23,163,121,0.7423
stock,3,-22,173,133,0.7688
stock,3,-21,209,159,0.7608
stock,3,-20,174,134,0.7701
stock,3,-19,174,134,0.7701
stock,3,-18,219,169,0.7717
stock,3,-17,171,127,0.7427
stock,3,-16,147,109,0.7415
stock,3,-15,235,192,0.8170
stock,3,-14,157,132,0.8408
stock,3,-13,99,69,0.6970
stock,3,-12,178,138,0.7753
stock,3,-11,204,154,0.7549
stock,3,-10,155,115,0.7419
stock,3,-9,168,128,0.7619
stock,3,-8,222,172,0.7748
stock,3,-7,215,170,0.7907
stock,3,-6,178,133,0.7472
stock,3,-5,138,98,0.7101
stock,3,-4,191,151,0.7906
stock,3,-3,175,135,0.7714
stock,3,-2,206,157,0.7621
stock,3,-1,194,153,0.7887
stock,3,0,200,150,0.7500
stock,3,1,163,133,0.8160
stock,3,2,201,161,0.8010
stock,3,3,185,145,0.7838
stock,3,4,236,195,0.8263
stock,3,5,236,187,0.7924
stock,3,6,139,109,0.7842
stock,3,7,164,124,0.7561
stock,3,8,144,104,0.7222
stock,3,9,212,172,0.8113
stock,3,10,209,159,0.7608
stock,3,11,142,112,0.7887
stock,3,12,208,164,0.7885
stock,3,13,128,82,0.6406
stock,3,14,54,14,0.2593
stock,3,15,60,20,0.3333
stock,3,16,68,28,0.4118
stock,3,17,84,44,0.5238
stock,3,18,83,43,0.5181
stock,3,19,102,52,0.5098
stock,3,20,78,38,0.4872
stock,3,21,119,69,0.5798
stock,3,22,85,45,0.5294
stock,3,23,131,81,0.6183
stock,3,24,84,42,0.5000
stock,3,25,82,44,0.5366
stock,3,26,39,19,0.4872
stock,3,27,91,51,0.5604
stock,3,28,123,73,0.5935
stock,3,29,98,58,0.5918
stock,3,30,146,96,0.6575
stock,3,31,102,62,0.6078
stock,3,32,95,55,0.5789
stock,3,33,132,82,0.6212
stock,3,34,110,70,0.6364
stock,3,35,64,34,0.5312
stock,3,36,66,36,0.5455
stock,3,37,111,71,0.6396
stock,3,38,97,67,0.6907
stock,3,39,163,123,0.7546
stock,3,40,153,103,0.6732
stock,3,41,158,118,0.7468
stock,3,42,166,116,0.6988
stock,3,43,137,97,0.7080
stock,3,44,182,132,0.7253
stock,3,45,106,76,0.7170
stock,3,46,143,103,0.7203
stock,3,47,115,85,0.7391
stock,3,48,85,55,0.6471
stock,3,49,123,83,0.6748
stock,3,50,168,118,0.7024
stock,3,51,103,73,0.7087
stock,3,52,101,71,0.7030
stock,3,53,170,130,0.7647
stock,3,54,207,157,0.7585
stock,3,55,127,97,0.7638
stock,3,56,180,140,0.7778
stock,3,57,165,125,0.7576
stock,3,58,138,98,0.7101
stock,3,59,212,162,0.7642
stock,3,60,226,186,0.8230
stock,3,61,145,105,0.7241
stock,3,62,114,84,0.7368
stock,3,63,149,109,0.7315
stock,3,64,174,134,0.7701
stock,3,65,227,187,0.8238
stock,3,66,210,160,0.7619
stock,3,67,151,121,0.8013
stock,3,68,181,141,0.7790
stock,3,69,178,138,0.7753
stock,3,70,241,191,0.7925
stock,3,71,222,182,0.8198
stock,3,72,110,80,0.7273
stock,3,73,200,160,0.8000
stock,3,74,257,217,0.8444
stock,3,75,156,116,0.7436
stock,3,76,259,209,0.8069
stock,3,77,150,120,0.8000
stock,3,78,144,104,0.7222
stock,3,79,207,167,0.8068
stock,3,80,304,254,0.8355
stock,3,81,222,182,0.8198
stock,3,82,340,290,0.8529
stock,3,83,249,199,0.7992
stock,3,84,181,141,0.7790
stock,3,85,254,214,0.8425
stock,3,86,143,123,0.8601
stock,3,87,295,245,0.8305
stock,3,88,192,152,0.7917
stock,3,89,232,192,0.8276
stock,3,90,265,225,0.8491
sentrycache,1,-25,53,43,0.8113
sentrycache,1,-24,171,131,0.7661
sentrycache,1,-23,114,84,0.7368
sentrycache,1,-22,183,143,0.7814
sentrycache,1,-21,216,166,0.7685
sentrycache,1,-20,166,126,0.7590
sentrycache,1,-19,252,202,0.8016
sentrycache,1,-18,186,146,0.7849
sentrycache,1,-17,226,176,0.7788
sentrycache,1,-16,206,156,0.7573
sentrycache,1,-15,242,202,0.8347
sentrycache,1,-14,165,125,0.7576
sentrycache,1,-13,193,153,0.7927
sentrycache,1,-12,174,134,0.7701
sentrycache,1,-11,191,141,0.7382
sentrycache,1,-10,144,104,0.7222
sentrycache,1,-9,123,93,0.7561
sentrycache,1,-8,217,177,0.8157
sentrycache,1,-7,217,167,0.7696
sentrycache,1,-6,140,100,0.7143
sentrycache,1,-5,174,134,0.7701
sentrycache,1,-4,122,92,0.7541
sentrycache,1,-3,88,68,0.7727
sentrycache,1,-2,154,124,0.8052
sentrycache,1,-1,163,123,0.7546
sentrycache,1,0,232,192,0.8276
sentrycache,1,1,183,143,0.7814
sentrycache,1,2,162,132,0.8148
sentrycache,1,3,202,162,0.8020
sentrycache,1,4,214,164,0.7664
sentrycache,1,5,200,161,0.8050
sentrycache,1,6,212,171,0.8066
sentrycache,1,7,114,84,0.7368
sentrycache,1,8,137,97,0.7080
sentrycache,1,9,173,133,0.7688
sentrycache,1,10,194,154,0.7938
sentrycache,1,11,209,169,0.8086
sentrycache,1,12,209,159,0.7608
sentrycache,1,13,82,42,0.5122
sentrycache,1,14,70,30,0.4286
sentrycache,1,15,83,43,0.5181
sentrycache,1,16,70,30,0.4286
sentrycache,1,17,86,36,0.4186
sentrycache,1,18,68,38,0.5588
sentrycache,1,19,98,58,0.5918
sentrycache,1,20,121,71,0.5868
sentrycache,1,21,94,54,0.5745
sentrycache,1,22,98,58,0.5918
sentrycache,1,23,127,77,0.6063
sentrycache,1,24,101,61,0.6040
sentrycache,1,25,129,79,0.6124
sentrycache,1,26,116,76,0.6552
sentrycache,1,27,108,68,0.6296
sentrycache,1,28,126,86,0.6825
sentrycache,1,29,92,52,0.5652
sentrycache,1,30,109,59,0.5413
sentrycache,1,31,100,70,0.7000
sentrycache,1,32,114,74,0.6491
sentrycache,1,33,97,57,0.5876
sentrycache,1,34,130,80,0.6154
sentrycache,1,35,132,92,0.6970
sentrycache,1,36,126,76,0.6032
sentrycache,1,37,83,53,0.6386
sentrycache,1,38,99,59,0.5960
sentrycache,1,39,111,71,0.6396
sentrycache,1,40,143,103,0.7203
sentrycache,1,41,86,56,0.6512
sentrycache,1,42,125,85,0.6800
sentrycache,1,43,147,107,0.7279
sentrycache,1,44,175,125,0.7143
sentrycache,1,45,130,90,0.6923
sentrycache,1,46,172,122,0.7093
sentrycache,1,47,117,87,0.7436
sentrycache,1,48,96,76,0.7917
sentrycache,1,49,132,102,0.7727
sentrycache,1,50,131,91,0.6947
sentrycache,1,51,168,118,0.7024
sentrycache,1,52,163,123,0.7546
sentrycache,1,53,186,136,0.7312
sentrycache,1,54,155,115,0.7419
sentrycache,1,55,167,117,0.7006
sentrycache,1,56,155,111,0.7161
sentrycache,1,57,151,115,0.7616
sentrycache,1,58,79,59,0.7468
sentrycache,1,59,98,68,0.6939
sentrycache,1,60,128,88,0.6875
sentrycache,1,61,222,172,0.7748
sentrycache,1,62,187,147,0.7861
sentrycache,1,63,171,131,0.7661
sentrycache,1,64,209,159,0.7608
sentrycache,1,65,200,156,0.7800
sentrycache,1,66,238,192,0.8067
sentrycache,1,67,192,152,0.7917
sentrycache,1,68,188,148,0.7872
sentrycache,1,69,213,163,0.7653
sentrycache,1,70,204,164,0.8039
sentrycache,1,71,200,150,0.7500
sentrycache,1,72,252,212,0.8413
sentrycache,1,73,211,170,0.8057
sentrycache,1,74,268,219,0.8172
sentrycache,1,75,209,165,0.7895
sentrycache,1,76,232,186,0.8017
sentrycache,1,77,261,221,0.8467
sentrycache,1,78,134,104,0.7761
sentrycache,1,79,179,139,0.7765
sentrycache,1,80,242,202,0.8347
sentrycache,1,81,213,171,0.8028
sentrycache,1,82,194,151,0.7784
sentrycache,1,83,202,157,0.7772
sentrycache,1,84,222,182,0.8198
sentrycache,1,85,239,189,0.7908
sentrycache,1,86,296,250,0.8446
sentrycache,1,87,247,203,0.8219
sentrycache,1,88,193,153,0.7927
sentrycache,1,89,227,187,0.8238
sentrycache,1,90,179,139,0.7765
sentrycache,2,-25,10,7,0.7000
sentrycache,2,-24,190,143,0.7526
sentrycache,2,-23,142,102,0.7183
sentrycache,2,-22,189,140,0.7407
sentrycache,2,-21,168,127,0.7560
sentrycache,2,-20,250,202,0.8080
sentrycache,2,-19,202,160,0.7921
sentrycache,2,-18,266,216,0.8120
sentrycache,2,-17,178,138,0.7753
sentrycache,2,-16,188,148,0.7872
sentrycache,2,-15,206,156,0.7573
sentrycache,2,-14,111,81,0.7297
sentrycache,2,-13,167,127,0.7605
sentrycache,2,-12,220,170,0.7727
sentrycache,2,-11,234,194,0.8291
sentrycache,2,-10,204,154,0.7549
sentrycache,2,-9,169,129,0.7633
sentrycache,2,-8,188,138,0.7340
sentrycache,2,-7,200,157,0.7850
sentrycache,2,-6,254,207,0.8150
sentrycache,2,-5,178,138,0.7753
sentrycache,2,-4,216,176,0.8148
sentrycache,2,-3,201,152,0.7562
sentrycache,2,-2,229,188,0.8210
sentrycache,2,-1,211,166,0.7867
sentrycache,2,0,211,166,0.7867
sentrycache,2,1,144,114,0.7917
sentrycache,2,2,158,118,0.7468
sentrycache,2,3,179,139,0.7765
sentrycache,2,4,212,172,0.8113
sentrycache,2,5,263,213,0.8099
sentrycache,2,6,182,152,0.8352
sentrycache,2,7,239,199,0.8326
sentrycache,2,8,228,188,0.8246
sentrycache,2,9,212,172,0.8113
sentrycache,2,10,252,202,0.8016
sentrycache,2,11,220,180,0.8182
sentrycache,2,12,185,145,0.7838
sentrycache,2,13,130,90,0.6923
sentrycache,2,14,66,26,0.3939
sentrycache,2,15,76,36,0.4737
sentrycache,2,16,96,46,0.4792
sentrycache,2,17,65,35,0.5385
sentrycache,2,18,90,50,0.5556
sentrycache,2,19,101,51,0.5050
sentrycache,2,20,105,65,0.6190
sentrycache,2,21,102,62,0.6078
sentrycache,2,22,123,73,0.5935
sentrycache,2,23,109,59,0.5413
sentrycache,2,24,106,66,0.6226
sentrycache,2,25,108,68,0.6296
sentrycache,2,26,93,53,0.5699
sentrycache,2,27,118,78,0.6610
sentrycache,2,28,150,100,0.6667
sentrycache,2,29,150,110,0.7333
sentrycache,2,30,160,110,0.6875
sentrycache,2,31,99,69,0.6970
sentrycache,2,32,123,83,0.6748
sentrycache,2,33,187,137,0.7326
sentrycache,2,34,154,114,0.7403
sentrycache,2,35,119,79,0.6639
sentrycache,2,36,208,158,0.7596
sentrycache,2,37,111,81,0.7297
sentrycache,2,38,149,109,0.7315
sentrycache,2,39,136,86,0.6324
sentrycache,2,40,148,108,0.7297
sentrycache,2,41,145,105,0.7241
sentrycache,2,42,191,141,0.7382
sentrycache,2,43,202,152,0.7525
sentrycache,2,44,162,122,0.7531
sentrycache,2,45,181,131,0.7238
sentrycache,2,46,132,92,0.6970
sentrycache,2,47,193,153,0.7927
sentrycache,2,48,206,159,0.7718
sentrycache,2,49,227,184,0.8106
sentrycache,2,50,187,147,0.7861
sentrycache,2,51,230,180,0.7826
sentrycache,2,52,149,119,0.7987
sentrycache,2,53,137,97,0.7080
sentrycache,2,54,205,155,0.7561
sentrycache,2,55,227,187,0.8238
sentrycache,2,56,194,154,0.7938
sentrycache,2,57,178,134,0.7528
sentrycache,2,58,163,127,0.7791
sentrycache,2,59,214,174,0.8131
sentrycache,2,60,226,176,0.7788
sentrycache,2,61,143,113,0.7902
sentrycache,2,62,125,95,0.7600
sentrycache,2,63,199,159,0.7990
sentrycache,2,64,235,185,0.7872
sentrycache,2,65,184,144,0.7826
sentrycache,2,66,232,192,0.8276
sentrycache,2,67,214,174,0.8131
sentrycache,2,68,174,134,0.7701
sentrycache,2,69,219,179,0.8174
sentrycache,2,70,237,187,0.7890
sentrycache,2,71,149,109,0.7315
sentrycache,2,72,200,160,0.8000
sentrycache,2,73,250,200,0.8000
sentrycache,2,74,224,182,0.8125
sentrycache,2,75,298,250,0.8389
sentrycache,2,76,202,162,0.8020
sentrycache,2,77,214,170,0.7944
sentrycache,2,78,214,172,0.8037
sentrycache,2,79,210,166,0.7905
sentrycache,2,80,188,142,0.7553
sentrycache,2,81,283,239,0.8445
sentrycache,2,82,229,185,0.8079
sentrycache,2,83,249,203,0.8153
sentrycache,2,84,229,189,0.8253
sentrycache,2,85,297,247,0.8316
sentrycache,2,86,271,231,0.8524
sentrycache,2,87,141,111,0.7872
sentrycache,2,88,290,240,0.8276
sentrycache,2,89,200,160,0.8000
sentrycache,2,90,254,214,0.8425
sentrycache,3,-24,216,166,0.7685
sentrycache,3,-23,172,142,0.8256
sentrycache,3,-22,122,82,0.6721
sentrycache,3,-21,235,185,0.7872
sentrycache,3,-20,198,158,0.7980
sentrycache,3,-19,147,107,0.7279
sentrycache,3,-18,141,111,0.7872
sentrycache,3,-17,170,130,0.7647
sentrycache,3,-16,184,144,0.7826
sentrycache,3,-15,178,128,0.7191
sentrycache,3,-14,161,121,0.7516
sentrycache,3,-13,137,107,0.7810
sentrycache,3,-12,149,109,0.7315
sentrycache,3,-11,229,189,0.8253
sentrycache,3,-10,259,209,0.8069
sentrycache,3,-9,145,105,0.7241
sentrycache,3,-8,147,117,0.7959
sentrycache,3,-7,214,174,0.8131
sentrycache,3,-6,161,121,0.7516
sentrycache,3,-5,222,172,0.7748
sentrycache,3,-4,187,147,0.7861
sentrycache,3,-3,225,175,0.7778
sentrycache,3,-2,126,96,0.7619
sentrycache,3,-1,150,110,0.7333
sentrycache,3,0,226,176,0.7788
sentrycache,3,1,179,141,0.7877
sentrycache,3,2,204,162,0.7941
sentrycache,3,3,171,131,0.7661
sentrycache,3,4,198,148,0.7475
sentrycache,3,5,208,168,0.8077
sentrycache,3,6,212,168,0.7925
sentrycache,3,7,198,153,0.7727
sentrycache,3,8,182,141,0.7747
sentrycache,3,9,157,117,0.7452
sentrycache,3,10,129,99,0.7674
sentrycache,3,11,163,133,0.8160
sentrycache,3,12,209,169,0.8086
sentrycache,3,13,75,25,0.3333
sentrycache,3,14,48,18,0.3750
sentrycache,3,15,91,51,0.5604
sentrycache,3,16,89,39,0.4382
sentrycache,3,17,79,39,0.4937
sentrycache,3,18,116,66,0.5690
sentrycache,3,19,82,42,0.5122
sentrycache,3,20,152,102,0.6711
sentrycache,3,21,93,43,0.4624
sentrycache,3,22,97,58,0.5979
sentrycache,3,23,79,41,0.5190
sentrycache,3,24,112,72,0.6429
sentrycache,3,25,111,68,0.6126
sentrycache,3,26,101,60,0.5941
sentrycache,3,27,149,100,0.6711
sentrycache,3,28,74,44,0.5946
sentrycache,3,29,107,67,0.6262
sentrycache,3,30,147,97,0.6599
sentrycache,3,31,115,75,0.6522
sentrycache,3,32,133,93,0.6992
sentrycache,3,33,76,46,0.6053
sentrycache,3,34,149,109,0.7315
sentrycache,3,35,132,92,0.6970
sentrycache,3,36,148,98,0.6622
sentrycache,3,37,135,95,0.7037
sentrycache,3,38,99,69,0.6970
sentrycache,3,39,111,71,0.6396
sentrycache,3,40,160,110,0.6875
sentrycache,3,41,127,87,0.6850
sentrycache,3,42,149,109,0.7315
sentrycache,3,43,127,81,0.6378
sentrycache,3,44,136,100,0.7353
sentrycache,3,45,138,97,0.7029
sentrycache,3,46,166,119,0.7169
sentrycache,3,47,164,122,0.7439
sentrycache,3,48,170,128,0.7529
sentrycache,3,49,181,135,0.7459
sentrycache,3,50,219,169,0.7717
sentrycache,3,51,102,72,0.7059
sentrycache,3,52,156,116,0.7436
sentrycache,3,53,175,125,0.7143
sentrycache,3,54,148,118,0.7973
sentrycache,3,55,92,62,0.6739
sentrycache,3,56,199,159,0.7990
sentrycache,3,57,232,182,0.7845
sentrycache,3,58,178,138,0.7753
sentrycache,3,59,167,127,0.7605
sentrycache,3,60,200,150,0.7500
sentrycache,3,61,236,187,0.7924
sentrycache,3,62,217,176,0.8111
sentrycache,3,63,157,117,0.7452
sentrycache,3,64,200,160,0.8000
sentrycache,3,65,253,203,0.8024
sentrycache,3,66,202,162,0.8020
sentrycache,3,67,254,204,0.8031
sentrycache,3,68,157,117,0.7452
sentrycache,3,69,192,162,0.8438
sentrycache,3,70,198,158,0.7980
sentrycache,3,71,288,238,0.8264
sentrycache,3,72,158,128,0.8101
sentrycache,3,73,269,219,0.8141
sentrycache,3,74,141,111,0.7872
sentrycache,3,75,152,112,0.7368
sentrycache,3,76,159,119,0.7484
sentrycache,3,77,269,219,0.8141
sentrycache,3,78,231,191,0.8268
sentrycache,3,79,153,123,0.8039
sentrycache,3,80,150,110,0.7333
sentrycache,3,81,284,235,0.8275
sentrycache,3,82,207,176,0.8502
sentrycache,3,83,222,174,0.7838
sentrycache,3,84,178,146,0.8202
sentrycache,3,85,134,114,0.8507
sentrycache,3,86,198,168,0.8485
sentrycache,3,87,236,196,0.8305
sentrycache,3,88,251,201,0.8008
sentrycache,3,89,172,132,0.7674
sentrycache,3,90,263,223,0.8479
np,1,-25,26,19,0.7308
np,1,-24,174,131,0.7529
np,1,-23,170,130,0.7647
np,1,-22,230,185,0.8043
np,1,-21,161,116,0.7205
np,1,-20,184,140,0.7609
np,1,-19,205,159,0.7756
np,1,-18,202,155,0.7673
np,1,-17,241,198,0.8216
np,1,-16,160,120,0.7500
np,1,-15,104,74,0.7115
np,1,-14,93,73,0.7849
np,1,-13,214,164,0.7664
np,1,-12,206,166,0.8058
np,1,-11,230,183,0.7957
np,1,-10,209,173,0.8278
np,1,-9,223,176,0.7892
np,1,-8,172,128,0.7442
np,1,-7,277,231,0.8339
np,1,-6,218,178,0.8165
np,1,-5,167,137,0.8204
np,1,-4,188,148,0.7872
np,1,-3,203,163,0.8030
np,1,-2,193,143,0.7409
np,1,-1,187,147,0.7861
np,1,0,119,89,0.7479
np,1,1,142,112,0.7887
np,1,2,189,149,0.7884
np,1,3,256,210,0.8203
np,1,4,204,160,0.7843
np,1,5,161,121,0.7516
np,1,6,197,157,0.7970
np,1,7,336,286,0.8512
np,1,8,213,173,0.8122
np,1,9,222,182,0.8198
np,1,10,247,197,0.7976
np,1,11,197,167,0.8477
np,1,12,183,143,0.7814
np,1,13,208,168,0.8077
np,1,14,258,211,0.8178
np,1,15,186,143,0.7688
np,1,16,48,8,0.1667
np,1,17,60,20,0.3333
np,1,18,60,20,0.3333
np,1,19,82,32,0.3902
np,1,20,77,37,0.4805
np,1,21,85,45,0.5294
np,1,22,113,63,0.5575
np,1,23,79,30,0.3797
np,1,24,92,51,0.5543
np,1,25,98,58,0.5918
np,1,26,128,88,0.6875
np,1,27,117,68,0.5812
np,1,28,128,90,0.7031
np,1,29,98,55,0.5612
np,1,30,94,64,0.6809
np,1,31,91,51,0.5604
