condition,scenario,trial,steady_hit_rate,min_post_hit_rate,drop_pp,recovery_s,cum_miss_post,errors
stock,scalein,1,0.7716,0.3333,43.83,67,3497,57
stock,scalein,2,0.7769,0.2222,55.47,74,3565,72
stock,scalein,3,0.7804,0.2857,49.47,63,3463,53
stock,crash,1,0.7510,0.0787,67.24,43,3962,292
stock,crash,2,0.7629,0.3000,46.29,32,4093,473
stock,crash,3,0.7562,0.3333,42.29,20,3929,459
sentrycache,scalein,1,0.7744,0.3333,44.11,84,3540,79
sentrycache,scalein,2,0.7701,0.4545,31.56,79,3543,60
sentrycache,scalein,3,0.7600,0.3521,40.79,66,3516,66
sentrycache,crash,1,0.7372,0.3333,40.39,29,4006,376
sentrycache,crash,2,0.7840,0.4030,38.10,21,4536,776
sentrycache,crash,3,0.7640,0.1194,64.46,37,3997,267
nm,scalein,1,0.7649,0.2727,49.21,79,3505,68
nm,scalein,2,0.7938,0.3571,43.67,,3371,62
nm,scalein,3,0.7733,0.0000,77.33,69,3593,58
nm,crash,1,0.7643,0.2055,55.89,46,3843,213
nm,crash,2,0.7710,0.1311,63.98,40,3915,225
nm,crash,3,0.7971,0.1071,68.99,47,3808,328
