experiment,condition,scenario_or_blank,trial,event_unix_ts,drop_trough_rel_s,recovery_rel_s,new_pod_first_seen_s,T_warmup_s
5.4,stock,scalein,1,1778080456,29,96,,
5.4,stock,scalein,2,1778080668,33,107,,
5.4,stock,scalein,3,1778080882,28,91,,
5.4,stock,crash,1,1778081102,3,46,,
5.4,stock,crash,2,1778081316,11,43,,
5.4,stock,crash,3,1778081528,2,22,,
5.4,sentrycache,scalein,1,1778081747,27,111,,
5.4,sentrycache,scalein,2,1778081958,30,109,,
5.4,sentrycache,scalein,3,1778082178,33,99,,
5.4,sentrycache,crash,1,1778082391,3,32,,
5.4,sentrycache,crash,2,1778082604,2,23,,
5.4,sentrycache,crash,3,1778082823,3,40,,
5.4,nm,scalein,1,1778083041,26,105,,
5.4,nm,scalein,2,1778083257,32,,,
5.4,nm,scalein,3,1778083468,32,101,,
5.4,nm,crash,1,1778083679,8,54,,
5.4,nm,crash,2,1778083892,4,44,,
5.4,nm,crash,3,1778084109,3,50,,
5.2,stock,,1,1778117840,,,11,31
5.2,stock,,2,1778118055,,,12,29
5.2,stock,,3,1778118269,,,13,26
5.2,sentrycache,,1,1778118493,,,13,9
5.2,sentrycache,,2,1778118708,,,13,18
5.2,sentrycache,,3,1778118926,,,13,12
5.2,np,,1,1778119147,,,16,26
5.2,np,,2,1778119365,,,15,28
5.2,np,,3,1778119585,,,15,18
